name	alpha	beta	L	m	T	L_ratioT_ratio
poi-10-1	2	1.0	30	3	118	
poi-10-1	2	1.33	15	1	59	
poi-10-1	2	1.33	15	1	118	
poi-10-1	2	1.33	15	2	59	
poi-10-1	2	1.33	15	2	118	
poi-10-1	2	1.33	15	3	59	
poi-10-1	2	1.33	15	3	118	
poi-10-1	2	1.33	30	1	59	
poi-10-1	2	1.33	30	1	118	
poi-10-1	2	1.33	30	2	59	
poi-10-1	2	1.33	30	2	118	
poi-10-1	2	1.33	30	3	59	
poi-10-1	2	1.33	30	3	118	
poi-10-2	1	0.67	13	1	58	
poi-10-2	1	0.67	13	1	116	
poi-10-2	1	0.67	13	2	58	
poi-10-2	1	0.67	13	2	116	
poi-10-2	1	0.67	13	3	58	
poi-10-2	1	0.67	13	3	116	
poi-10-2	1	0.67	27	1	58	
poi-10-2	1	0.67	27	1	116	
poi-10-2	1	0.67	27	2	58	
poi-10-2	1	0.67	27	2	116	
poi-10-2	1	0.67	27	3	58	
poi-10-2	1	0.67	27	3	116	
poi-10-2	1	1.0	13	1	58	
poi-10-2	1	1.0	13	1	116	
poi-10-2	1	1.0	13	2	58	
poi-10-2	1	1.0	13	2	116	
poi-10-2	1	1.0	13	3	58	
poi-10-2	1	1.0	13	3	116	
poi-10-2	1	1.0	27	1	58	
poi-10-2	1	1.0	27	1	116	
poi-10-2	1	1.0	27	2	58	
poi-10-2	1	1.0	27	2	116	
poi-10-2	1	1.0	27	3	58	
poi-10-2	1	1.0	27	3	116	
poi-10-2	1	1.33	13	1	58	
poi-10-2	1	1.33	13	1	116	
poi-10-2	1	1.33	13	2	58	
poi-10-2	1	1.33	13	2	116	
poi-10-2	1	1.33	13	3	58	
poi-10-2	1	1.33	13	3	116	
poi-10-2	1	1.33	27	1	58	
poi-10-2	1	1.33	27	1	116	
poi-10-2	1	1.33	27	2	58	
poi-10-2	1	1.33	27	2	116	
poi-10-2	1	1.33	27	3	58	
poi-10-2	1	1.33	27	3	116	
poi-10-2	2	0.67	13	1	58	
poi-10-2	2	0.67	13	1	116	
poi-10-2	2	0.67	13	2	58	
poi-10-2	2	0.67	13	2	116	
poi-10-2	2	0.67	13	3	58	
poi-10-2	2	0.67	13	3	116	
poi-10-2	2	0.67	27	1	58	
poi-10-2	2	0.67	27	1	116	
poi-10-2	2	0.67	27	2	58	
poi-10-2	2	0.67	27	2	116	
poi-10-2	2	0.67	27	3	58	
poi-10-2	2	0.67	27	3	116	
poi-10-2	2	1.0	13	1	58	
poi-10-2	2	1.0	13	1	116	
poi-10-2	2	1.0	13	2	58	
poi-10-2	2	1.0	13	2	116	
poi-10-2	2	1.0	13	3	58	
poi-10-2	2	1.0	13	3	116	
poi-10-2	2	1.0	27	1	58	
poi-10-2	2	1.0	27	1	116	
poi-10-2	2	1.0	27	2	58	
poi-10-2	2	1.0	27	2	116	
poi-10-2	2	1.0	27	3	58	
poi-10-2	2	1.0	27	3	116	
poi-10-2	2	1.33	13	1	58	
poi-10-2	2	1.33	13	1	116	
poi-10-2	2	1.33	13	2	58	
poi-10-2	2	1.33	13	2	116	
poi-10-2	2	1.33	13	3	58	
poi-10-2	2	1.33	13	3	116	
poi-10-2	2	1.33	27	1	58	
poi-10-2	2	1.33	27	1	116	
poi-10-2	2	1.33	27	2	58	
poi-10-2	2	1.33	27	2	116	
poi-10-2	2	1.33	27	3	58	
poi-10-2	2	1.33	27	3	116	
poi-10-3	1	0.67	14	1	59	
poi-10-3	1	0.67	14	1	119	
poi-10-3	1	0.67	14	2	59	
poi-10-3	1	0.67	14	2	119	
poi-10-3	1	0.67	14	3	59	
poi-10-3	1	0.67	14	3	119	
poi-10-3	1	0.67	28	1	59	
poi-10-3	1	0.67	28	1	119	
poi-10-3	1	0.67	28	2	59	
poi-10-3	1	0.67	28	2	119	
poi-10-3	1	0.67	28	3	59	
poi-10-3	1	0.67	28	3	119	
poi-10-3	1	1.0	14	1	59	
poi-10-3	1	1.0	14	1	119	
poi-10-3	1	1.0	14	2	59	
poi-10-3	1	1.0	14	2	119	
poi-10-3	1	1.0	14	3	59	
poi-10-3	1	1.0	14	3	119	
poi-10-3	1	1.0	28	1	59	
poi-10-3	1	1.0	28	1	119	
poi-10-3	1	1.0	28	2	59	
poi-10-3	1	1.0	28	2	119	
poi-10-3	1	1.0	28	3	59	
poi-10-3	1	1.0	28	3	119	
poi-10-3	1	1.33	14	1	59	
poi-10-3	1	1.33	14	1	119	
poi-10-3	1	1.33	14	2	59	
poi-10-3	1	1.33	14	2	119	
poi-10-3	1	1.33	14	3	59	
poi-10-3	1	1.33	14	3	119	
poi-10-3	1	1.33	28	1	59	
poi-10-3	1	1.33	28	1	119	
poi-10-3	1	1.33	28	2	59	
poi-10-3	1	1.33	28	2	119	
poi-10-3	1	1.33	28	3	59	
poi-10-3	1	1.33	28	3	119	
poi-10-3	2	0.67	14	1	59	
poi-10-3	2	0.67	14	1	119	
poi-10-3	2	0.67	14	2	59	
poi-10-3	2	0.67	14	2	119	
poi-10-3	2	0.67	14	3	59	
poi-10-3	2	0.67	14	3	119	
poi-10-3	2	0.67	28	1	59	
poi-10-3	2	0.67	28	1	119	
poi-10-3	2	0.67	28	2	59	
poi-10-3	2	0.67	28	2	119	
poi-10-3	2	0.67	28	3	59	
poi-10-3	2	0.67	28	3	119	
poi-10-3	2	1.0	14	1	59	
poi-10-3	2	1.0	14	1	119	
poi-10-3	2	1.0	14	2	59	
poi-10-3	2	1.0	14	2	119	
poi-10-3	2	1.0	14	3	59	
poi-10-3	2	1.0	14	3	119	
poi-10-3	2	1.0	28	1	59	
poi-10-3	2	1.0	28	1	119	
poi-10-3	2	1.0	28	2	59	
poi-10-3	2	1.0	28	2	119	
poi-10-3	2	1.0	28	3	59	
poi-10-3	2	1.0	28	3	119	
poi-10-3	2	1.33	14	1	59	
poi-10-3	2	1.33	14	1	119	
poi-10-3	2	1.33	14	2	59	
poi-10-3	2	1.33	14	2	119	
poi-10-3	2	1.33	14	3	59	
poi-10-3	2	1.33	14	3	119	
poi-10-3	2	1.33	28	1	59	
poi-10-3	2	1.33	28	1	119	
poi-10-3	2	1.33	28	2	59	
poi-10-3	2	1.33	28	2	119	
poi-10-3	2	1.33	28	3	59	
poi-10-3	2	1.33	28	3	119	
poi-10-4	1	0.67	13	1	59	
poi-10-4	1	0.67	13	1	118	
poi-10-4	1	0.67	13	2	59	
poi-10-4	1	0.67	13	2	118	
poi-10-4	1	0.67	13	3	59	
poi-10-4	1	0.67	13	3	118	
poi-10-4	1	0.67	26	1	59	
poi-10-4	1	0.67	26	1	118	
poi-10-4	1	0.67	26	2	59	
poi-10-4	1	0.67	26	2	118	
poi-10-4	1	0.67	26	3	59	
poi-10-4	1	0.67	26	3	118	
poi-10-4	1	1.0	13	1	59	
poi-10-4	1	1.0	13	1	118	
poi-10-4	1	1.0	13	2	59	
poi-10-4	1	1.0	13	2	118	
poi-10-4	1	1.0	13	3	59	
poi-10-4	1	1.0	13	3	118	
poi-10-4	1	1.0	26	1	59	
poi-10-4	1	1.0	26	1	118	
poi-10-4	1	1.0	26	2	59	
poi-10-4	1	1.0	26	2	118	
poi-10-4	1	1.0	26	3	59	
poi-10-4	1	1.0	26	3	118	
poi-10-4	1	1.33	13	1	59	
poi-10-4	1	1.33	13	1	118	
poi-10-4	1	1.33	13	2	59	
poi-10-4	1	1.33	13	2	118	
poi-10-4	1	1.33	13	3	59	
poi-10-4	1	1.33	13	3	118	
poi-10-4	1	1.33	26	1	59	
poi-10-4	1	1.33	26	1	118	
poi-10-4	1	1.33	26	2	59	
poi-10-4	1	1.33	26	2	118	
poi-10-4	1	1.33	26	3	59	
poi-10-4	1	1.33	26	3	118	
poi-10-4	2	0.67	13	1	59	
poi-10-4	2	0.67	13	1	118	
poi-10-4	2	0.67	13	2	59	
poi-10-4	2	0.67	13	2	118	
poi-10-4	2	0.67	13	3	59	
poi-10-4	2	0.67	13	3	118	
poi-10-4	2	0.67	26	1	59	
poi-10-4	2	0.67	26	1	118	
poi-10-4	2	0.67	26	2	59	
poi-10-4	2	0.67	26	2	118	
poi-10-4	2	0.67	26	3	59	
poi-10-4	2	0.67	26	3	118	
poi-10-4	2	1.0	13	1	59	
poi-10-4	2	1.0	13	1	118	
poi-10-4	2	1.0	13	2	59	
poi-10-4	2	1.0	13	2	118	
poi-10-4	2	1.0	13	3	59	
poi-10-4	2	1.0	13	3	118	
poi-10-4	2	1.0	26	1	59	
poi-10-4	2	1.0	26	1	118	
poi-10-4	2	1.0	26	2	59	
poi-10-4	2	1.0	26	2	118	
poi-10-4	2	1.0	26	3	59	
poi-10-4	2	1.0	26	3	118	
poi-10-4	2	1.33	13	1	59	
poi-10-4	2	1.33	13	1	118	
poi-10-4	2	1.33	13	2	59	
poi-10-4	2	1.33	13	2	118	
poi-10-4	2	1.33	13	3	59	
poi-10-4	2	1.33	13	3	118	
poi-10-4	2	1.33	26	1	59	
poi-10-4	2	1.33	26	1	118	
poi-10-4	2	1.33	26	2	59	
poi-10-4	2	1.33	26	2	118	
poi-10-4	2	1.33	26	3	59	
poi-10-4	2	1.33	26	3	118	
poi-10-5	1	0.67	14	1	52	
poi-10-5	1	0.67	14	1	104	
poi-10-5	1	0.67	14	2	52	
poi-10-5	1	0.67	14	2	104	
poi-10-5	1	0.67	14	3	52	
poi-10-5	1	0.67	14	3	104	
poi-10-5	1	0.67	28	1	52	
poi-10-5	1	0.67	28	1	104	
poi-10-5	1	0.67	28	2	52	
poi-10-5	1	0.67	28	2	104	
poi-10-5	1	0.67	28	3	52	
poi-10-5	1	0.67	28	3	104	
poi-10-5	1	1.0	14	1	52	
poi-10-5	1	1.0	14	1	104	
poi-10-5	1	1.0	14	2	52	
poi-10-5	1	1.0	14	2	104	
poi-10-5	1	1.0	14	3	52	
poi-10-5	1	1.0	14	3	104	
poi-10-5	1	1.0	28	1	52	
poi-10-5	1	1.0	28	1	104	
poi-10-5	1	1.0	28	2	52	
poi-10-5	1	1.0	28	2	104	
poi-10-5	1	1.0	28	3	52	
poi-10-5	1	1.0	28	3	104	
poi-10-5	1	1.33	14	1	52	
poi-10-5	1	1.33	14	1	104	
poi-10-5	1	1.33	14	2	52	
poi-10-5	1	1.33	14	2	104	
poi-10-5	1	1.33	14	3	52	
poi-10-5	1	1.33	14	3	104	
poi-10-5	1	1.33	28	1	52	
poi-10-5	1	1.33	28	1	104	
poi-10-5	1	1.33	28	2	52	
poi-10-5	1	1.33	28	2	104	
poi-10-5	1	1.33	28	3	52	
poi-10-5	1	1.33	28	3	104	
poi-10-5	2	0.67	14	1	52	
poi-10-5	2	0.67	14	1	104	
poi-10-5	2	0.67	14	2	52	
poi-10-5	2	0.67	14	2	104	
poi-10-5	2	0.67	14	3	52	
poi-10-5	2	0.67	14	3	104	
poi-10-5	2	0.67	28	1	52	
poi-10-5	2	0.67	28	1	104	
poi-10-5	2	0.67	28	2	52	
poi-10-5	2	0.67	28	2	104	
poi-10-5	2	0.67	28	3	52	
poi-10-5	2	0.67	28	3	104	
poi-10-5	2	1.0	14	1	52	
poi-10-5	2	1.0	14	1	104	
poi-10-5	2	1.0	14	2	52	
poi-10-5	2	1.0	14	2	104	
poi-10-5	2	1.0	14	3	52	
poi-10-5	2	1.0	14	3	104	
poi-10-5	2	1.0	28	1	52	
poi-10-5	2	1.0	28	1	104	
poi-10-5	2	1.0	28	2	52	
poi-10-5	2	1.0	28	2	104	
poi-10-5	2	1.0	28	3	52	
poi-10-5	2	1.0	28	3	104	
poi-10-5	2	1.33	14	1	52	
poi-10-5	2	1.33	14	1	104	
poi-10-5	2	1.33	14	2	52	
poi-10-5	2	1.33	14	2	104	
poi-10-5	2	1.33	14	3	52	
poi-10-5	2	1.33	14	3	104	
poi-10-5	2	1.33	28	1	52	
poi-10-5	2	1.33	28	1	104	
poi-10-5	2	1.33	28	2	52	
poi-10-5	2	1.33	28	2	104	
poi-10-5	2	1.33	28	3	52	
poi-10-5	2	1.33	28	3	104	
poi-20-1	1	0.67	14	1	79	
poi-20-1	1	0.67	14	1	159	
poi-20-1	1	0.67	14	2	79	
poi-20-1	1	0.67	14	2	159	
poi-20-1	1	0.67	14	3	79	
poi-20-1	1	0.67	14	3	159	
poi-20-1	1	0.67	28	1	79	
poi-20-1	1	0.67	28	1	159	
poi-20-1	1	0.67	28	2	79	
poi-20-1	1	0.67	28	2	159	
poi-20-1	1	0.67	28	3	79	
poi-20-1	1	0.67	28	3	159	
poi-20-1	1	1.0	14	1	79	
poi-20-1	1	1.0	14	1	159	
poi-20-1	1	1.0	14	2	79	
poi-20-1	1	1.0	14	2	159	
poi-20-1	1	1.0	14	3	79	
poi-20-1	1	1.0	14	3	159	
poi-20-1	1	1.0	28	1	79	
poi-20-1	1	1.0	28	1	159	
poi-20-1	1	1.0	28	2	79	
poi-20-1	1	1.0	28	2	159	
poi-20-1	1	1.0	28	3	79	
poi-20-1	1	1.0	28	3	159	
poi-20-1	1	1.33	14	1	79	
poi-20-1	1	1.33	14	1	159	
poi-20-1	1	1.33	14	2	79	
poi-20-1	1	1.33	14	2	159	
poi-20-1	1	1.33	14	3	79	
poi-20-1	1	1.33	14	3	159	
poi-20-1	1	1.33	28	1	79	
poi-20-1	1	1.33	28	1	159	
poi-20-1	1	1.33	28	2	79	
poi-20-1	1	1.33	28	2	159	
poi-20-1	1	1.33	28	3	79	
poi-20-1	1	1.33	28	3	159	
poi-20-1	2	0.67	14	1	79	
poi-20-1	2	0.67	14	1	159	
poi-20-1	2	0.67	14	2	79	
poi-20-1	2	0.67	14	2	159	
poi-20-1	2	0.67	14	3	79	
poi-20-1	2	0.67	14	3	159	
poi-20-1	2	0.67	28	1	79	
poi-20-1	2	0.67	28	1	159	
poi-20-1	2	0.67	28	2	79	
poi-20-1	2	0.67	28	2	159	
poi-20-1	2	0.67	28	3	79	
poi-20-1	2	0.67	28	3	159	
poi-20-1	2	1.0	14	1	79	
poi-20-1	2	1.0	14	1	159	
poi-20-1	2	1.0	14	2	79	
poi-20-1	2	1.0	14	2	159	
poi-20-1	2	1.0	14	3	79	
poi-20-1	2	1.0	14	3	159	
poi-20-1	2	1.0	28	1	79	
poi-20-1	2	1.0	28	1	159	
poi-20-1	2	1.0	28	2	79	
poi-20-1	2	1.0	28	2	159	
poi-20-1	2	1.0	28	3	79	
poi-20-1	2	1.0	28	3	159	
poi-20-1	2	1.33	14	1	79	
poi-20-1	2	1.33	14	1	159	
poi-20-1	2	1.33	14	2	79	
poi-20-1	2	1.33	14	2	159	
poi-20-1	2	1.33	14	3	79	
poi-20-1	2	1.33	14	3	159	
poi-20-1	2	1.33	28	1	79	
poi-20-1	2	1.33	28	1	159	
poi-20-1	2	1.33	28	2	79	
poi-20-1	2	1.33	28	2	159	
poi-20-1	2	1.33	28	3	79	
poi-20-1	2	1.33	28	3	159	
poi-20-2	1	0.67	13	1	80	
poi-20-2	1	0.67	13	1	160	
poi-20-2	1	0.67	13	2	80	
poi-20-2	1	0.67	13	2	160	
poi-20-2	1	0.67	13	3	80	
poi-20-2	1	0.67	13	3	160	
poi-20-2	1	0.67	26	1	80	
poi-20-2	1	0.67	26	1	160	
poi-20-2	1	0.67	26	2	80	
poi-20-2	1	0.67	26	2	160	
poi-20-2	1	0.67	26	3	80	
poi-20-2	1	0.67	26	3	160	
poi-20-2	1	1.0	13	1	80	
poi-20-2	1	1.0	13	1	160	
poi-20-2	1	1.0	13	2	80	
poi-20-2	1	1.0	13	2	160	
poi-20-2	1	1.0	13	3	80	
poi-20-2	1	1.0	13	3	160	
poi-20-2	1	1.0	26	1	80	
poi-20-2	1	1.0	26	1	160	
poi-20-2	1	1.0	26	2	80	
poi-20-2	1	1.0	26	2	160	
poi-20-2	1	1.0	26	3	80	
poi-20-2	1	1.0	26	3	160	
poi-20-2	1	1.33	13	1	80	
poi-20-2	1	1.33	13	1	160	
poi-20-2	1	1.33	13	2	80	
poi-20-2	1	1.33	13	2	160	
poi-20-2	1	1.33	13	3	80	
poi-20-2	1	1.33	13	3	160	
poi-20-2	1	1.33	26	1	80	
poi-20-2	1	1.33	26	1	160	
poi-20-2	1	1.33	26	2	80	
poi-20-2	1	1.33	26	2	160	
poi-20-2	1	1.33	26	3	80	
poi-20-2	1	1.33	26	3	160	
poi-20-2	2	0.67	13	1	80	
poi-20-2	2	0.67	13	1	160	
poi-20-2	2	0.67	13	2	80	
poi-20-2	2	0.67	13	2	160	
poi-20-2	2	0.67	13	3	80	
poi-20-2	2	0.67	13	3	160	
poi-20-2	2	0.67	26	1	80	
poi-20-2	2	0.67	26	1	160	
poi-20-2	2	0.67	26	2	80	
poi-20-2	2	0.67	26	2	160	
poi-20-2	2	0.67	26	3	80	
poi-20-2	2	0.67	26	3	160	
poi-20-2	2	1.0	13	1	80	
poi-20-2	2	1.0	13	1	160	
poi-20-2	2	1.0	13	2	80	
poi-20-2	2	1.0	13	2	160	
poi-20-2	2	1.0	13	3	80	
poi-20-2	2	1.0	13	3	160	
poi-20-2	2	1.0	26	1	80	
poi-20-2	2	1.0	26	1	160	
poi-20-2	2	1.0	26	2	80	
poi-20-2	2	1.0	26	2	160	
poi-20-2	2	1.0	26	3	80	
poi-20-2	2	1.0	26	3	160	
poi-20-2	2	1.33	13	1	80	
poi-20-2	2	1.33	13	1	160	
poi-20-2	2	1.33	13	2	80	
poi-20-2	2	1.33	13	2	160	
poi-20-2	2	1.33	13	3	80	
poi-20-2	2	1.33	13	3	160	
poi-20-2	2	1.33	26	1	80	
poi-20-2	2	1.33	26	1	160	
poi-20-2	2	1.33	26	2	80	
poi-20-2	2	1.33	26	2	160	
poi-20-2	2	1.33	26	3	80	
poi-20-2	2	1.33	26	3	160	
poi-20-3	1	0.67	15	1	85	
poi-20-3	1	0.67	15	1	171	
poi-20-3	1	0.67	15	2	85	
poi-20-3	1	0.67	15	2	171	
poi-20-3	1	0.67	15	3	85	
poi-20-3	1	0.67	15	3	171	
poi-20-3	1	0.67	31	1	85	
poi-20-3	1	0.67	31	1	171	
poi-20-3	1	0.67	31	2	85	
poi-20-3	1	0.67	31	2	171	
poi-20-3	1	0.67	31	3	85	
poi-20-3	1	0.67	31	3	171	
poi-20-3	1	1.0	15	1	85	
poi-20-3	1	1.0	15	1	171	
poi-20-3	1	1.0	15	2	85	
poi-20-3	1	1.0	15	2	171	
poi-20-3	1	1.0	15	3	85	
poi-20-3	1	1.0	15	3	171	
poi-20-3	1	1.0	31	1	85	
poi-20-3	1	1.0	31	1	171	
poi-20-3	1	1.0	31	2	85	
poi-20-3	1	1.0	31	2	171	
poi-20-3	1	1.0	31	3	85	
poi-20-3	1	1.0	31	3	171	
poi-20-3	1	1.33	15	1	85	
poi-20-3	1	1.33	15	1	171	
poi-20-3	1	1.33	15	2	85	
poi-20-3	1	1.33	15	2	171	
poi-20-3	1	1.33	15	3	85	
poi-20-3	1	1.33	15	3	171	
poi-20-3	1	1.33	31	1	85	
poi-20-3	1	1.33	31	1	171	
poi-20-3	1	1.33	31	2	85	
poi-20-3	1	1.33	31	2	171	
poi-20-3	1	1.33	31	3	85	
poi-20-3	1	1.33	31	3	171	
poi-20-3	2	0.67	15	1	85	
poi-20-3	2	0.67	15	1	171	
poi-20-3	2	0.67	15	2	85	
poi-20-3	2	0.67	15	2	171	
poi-20-3	2	0.67	15	3	85	
poi-20-3	2	0.67	15	3	171	
poi-20-3	2	0.67	31	1	85	
poi-20-3	2	0.67	31	1	171	
poi-20-3	2	0.67	31	2	85	
poi-20-3	2	0.67	31	2	171	
poi-20-3	2	0.67	31	3	85	
poi-20-3	2	0.67	31	3	171	
poi-20-3	2	1.0	15	1	85	
poi-20-3	2	1.0	15	1	171	
poi-20-3	2	1.0	15	2	85	
poi-20-3	2	1.0	15	2	171	
poi-20-3	2	1.0	15	3	85	
poi-20-3	2	1.0	15	3	171	
poi-20-3	2	1.0	31	1	85	
poi-20-3	2	1.0	31	1	171	
poi-20-3	2	1.0	31	2	85	
poi-20-3	2	1.0	31	2	171	
poi-20-3	2	1.0	31	3	85	
poi-20-3	2	1.0	31	3	171	
poi-20-3	2	1.33	15	1	85	
poi-20-3	2	1.33	15	1	171	
poi-20-3	2	1.33	15	2	85	
poi-20-3	2	1.33	15	2	171	
poi-20-3	2	1.33	15	3	85	
poi-20-3	2	1.33	15	3	171	
poi-20-3	2	1.33	31	1	85	
poi-20-3	2	1.33	31	1	171	
poi-20-3	2	1.33	31	2	85	
poi-20-3	2	1.33	31	2	171	
poi-20-3	2	1.33	31	3	85	
poi-20-3	2	1.33	31	3	171	
poi-20-4	1	0.67	13	1	78	
poi-20-4	1	0.67	13	1	157	
poi-20-4	1	0.67	13	2	78	
poi-20-4	1	0.67	13	2	157	
poi-20-4	1	0.67	13	3	78	
poi-20-4	1	0.67	13	3	157	
poi-20-4	1	0.67	26	1	78	
poi-20-4	1	0.67	26	1	157	
poi-20-4	1	0.67	26	2	78	
poi-20-4	1	0.67	26	2	157	
poi-20-4	1	0.67	26	3	78	
poi-20-4	1	0.67	26	3	157	
poi-20-4	1	1.0	13	1	78	
poi-20-4	1	1.0	13	1	157	
poi-20-4	1	1.0	13	2	78	
poi-20-4	1	1.0	13	2	157	
poi-20-4	1	1.0	13	3	78	
poi-20-4	1	1.0	13	3	157	
poi-20-4	1	1.0	26	1	78	
poi-20-4	1	1.0	26	1	157	
poi-20-4	1	1.0	26	2	78	
poi-20-4	1	1.0	26	2	157	
poi-20-4	1	1.0	26	3	78	
poi-20-4	1	1.0	26	3	157	
poi-20-4	1	1.33	13	1	78	
poi-20-4	1	1.33	13	1	157	
poi-20-4	1	1.33	13	2	78	
poi-20-4	1	1.33	13	2	157	
poi-20-4	1	1.33	13	3	78	
poi-20-4	1	1.33	13	3	157	
poi-20-4	1	1.33	26	1	78	
poi-20-4	1	1.33	26	1	157	
poi-20-4	1	1.33	26	2	78	
poi-20-4	1	1.33	26	2	157	
poi-20-4	1	1.33	26	3	78	
poi-20-4	1	1.33	26	3	157	
poi-20-4	2	0.67	13	1	78	
poi-20-4	2	0.67	13	1	157	
poi-20-4	2	0.67	13	2	78	
poi-20-4	2	0.67	13	2	157	
poi-20-4	2	0.67	13	3	78	
poi-20-4	2	0.67	13	3	157	
poi-20-4	2	0.67	26	1	78	
poi-20-4	2	0.67	26	1	157	
poi-20-4	2	0.67	26	2	78	
poi-20-4	2	0.67	26	2	157	
poi-20-4	2	0.67	26	3	78	
poi-20-4	2	0.67	26	3	157	
poi-20-4	2	1.0	13	1	78	
poi-20-4	2	1.0	13	1	157	
poi-20-4	2	1.0	13	2	78	
poi-20-4	2	1.0	13	2	157	
poi-20-4	2	1.0	13	3	78	
poi-20-4	2	1.0	13	3	157	
poi-20-4	2	1.0	26	1	78	
poi-20-4	2	1.0	26	1	157	
poi-20-4	2	1.0	26	2	78	
poi-20-4	2	1.0	26	2	157	
poi-20-4	2	1.0	26	3	78	
poi-20-4	2	1.0	26	3	157	
poi-20-4	2	1.33	13	1	78	
poi-20-4	2	1.33	13	1	157	
poi-20-4	2	1.33	13	2	78	
poi-20-4	2	1.33	13	2	157	
poi-20-4	2	1.33	13	3	78	
poi-20-4	2	1.33	13	3	157	
poi-20-4	2	1.33	26	1	78	
poi-20-4	2	1.33	26	1	157	
poi-20-4	2	1.33	26	2	78	
poi-20-4	2	1.33	26	2	157	
poi-20-4	2	1.33	26	3	78	
poi-20-4	2	1.33	26	3	157	
poi-20-5	1	0.67	13	1	74	
poi-20-5	1	0.67	13	1	149	
poi-20-5	1	0.67	13	2	74	
poi-20-5	1	0.67	13	2	149	
poi-20-5	1	0.67	13	3	74	
poi-20-5	1	0.67	13	3	149	
poi-20-5	1	0.67	26	1	74	
poi-20-5	1	0.67	26	1	149	
poi-20-5	1	0.67	26	2	74	
poi-20-5	1	0.67	26	2	149	
poi-20-5	1	0.67	26	3	74	
poi-20-5	1	0.67	26	3	149	
poi-20-5	1	1.0	13	1	74	
poi-20-5	1	1.0	13	1	149	
poi-20-5	1	1.0	13	2	74	
poi-20-5	1	1.0	13	2	149	
poi-20-5	1	1.0	13	3	74	
poi-20-5	1	1.0	13	3	149	
poi-20-5	1	1.0	26	1	74	
poi-20-5	1	1.0	26	1	149	
poi-20-5	1	1.0	26	2	74	
poi-20-5	1	1.0	26	2	149	
poi-20-5	1	1.0	26	3	74	
poi-20-5	1	1.0	26	3	149	
poi-20-5	1	1.33	13	1	74	
poi-20-5	1	1.33	13	1	149	
poi-20-5	1	1.33	13	2	74	
poi-20-5	1	1.33	13	2	149	
poi-20-5	1	1.33	13	3	74	
poi-20-5	1	1.33	13	3	149	
poi-20-5	1	1.33	26	1	74	
poi-20-5	1	1.33	26	1	149	
poi-20-5	1	1.33	26	2	74	
poi-20-5	1	1.33	26	2	149	
poi-20-5	1	1.33	26	3	74	
poi-20-5	1	1.33	26	3	149	
poi-20-5	2	0.67	13	1	74	
poi-20-5	2	0.67	13	1	149	
poi-20-5	2	0.67	13	2	74	
poi-20-5	2	0.67	13	2	149	
poi-20-5	2	0.67	13	3	74	
poi-20-5	2	0.67	13	3	149	
poi-20-5	2	0.67	26	1	74	
poi-20-5	2	0.67	26	1	149	
poi-20-5	2	0.67	26	2	74	
poi-20-5	2	0.67	26	2	149	
poi-20-5	2	0.67	26	3	74	
poi-20-5	2	0.67	26	3	149	
poi-20-5	2	1.0	13	1	74	
