name	alpha	beta	L	m	T
r-75-2	1	0.67	24	1	254
r-75-2	1	0.67	24	2	127
r-75-2	1	0.67	24	2	254
r-75-2	1	0.67	24	3	127
r-75-2	1	0.67	24	3	254
r-75-2	1	1.0	12	1	127
r-75-2	1	1.0	12	1	254
r-75-2	1	1.0	12	2	127
r-75-2	1	1.0	12	2	254
r-75-2	1	1.0	12	3	127
r-75-2	1	1.0	12	3	254
r-75-2	1	1.0	24	1	127
r-75-2	1	1.0	24	1	254
r-75-2	1	1.0	24	2	127
r-75-2	1	1.0	24	2	254
r-75-2	1	1.0	24	3	127
r-75-2	1	1.0	24	3	254
r-75-2	1	1.33	12	1	127
r-75-2	1	1.33	12	1	254
r-75-2	1	1.33	12	2	127
r-75-2	1	1.33	12	2	254
r-75-2	1	1.33	12	3	127
r-75-2	1	1.33	12	3	254
r-75-2	1	1.33	24	1	127
r-75-2	1	1.33	24	1	254
r-75-2	1	1.33	24	2	127
r-75-2	1	1.33	24	2	254
r-75-2	1	1.33	24	3	127
r-75-2	1	1.33	24	3	254
r-75-2	2	0.67	12	1	127
r-75-2	2	0.67	12	1	254
r-75-2	2	0.67	12	2	127
r-75-2	2	0.67	12	2	254
r-75-2	2	0.67	12	3	127
r-75-2	2	0.67	12	3	254
r-75-2	2	0.67	24	1	127
r-75-2	2	0.67	24	1	254
r-75-2	2	0.67	24	2	127
r-75-2	2	0.67	24	2	254
r-75-2	2	0.67	24	3	127
r-75-2	2	0.67	24	3	254
r-75-2	2	1.0	12	1	127
r-75-2	2	1.0	12	1	254
r-75-2	2	1.0	12	2	127
r-75-2	2	1.0	12	2	254
r-75-2	2	1.0	12	3	127
r-75-2	2	1.0	12	3	254
r-75-2	2	1.0	24	1	127
r-75-2	2	1.0	24	1	254
r-75-2	2	1.0	24	2	127
r-75-2	2	1.0	24	2	254
r-75-2	2	1.0	24	3	127
r-75-2	2	1.0	24	3	254
r-75-2	2	1.33	12	1	127
r-75-2	2	1.33	12	1	254
r-75-2	2	1.33	12	2	127
r-75-2	2	1.33	12	2	254
r-75-2	2	1.33	12	3	127
r-75-2	2	1.33	12	3	254
r-75-2	2	1.33	24	1	127
r-75-2	2	1.33	24	1	254
r-75-2	2	1.33	24	2	127
r-75-2	2	1.33	24	2	254
r-75-2	2	1.33	24	3	127
r-75-2	2	1.33	24	3	254
r-75-3	1	0.67	13	1	131
r-75-3	1	0.67	13	1	262
r-75-3	1	0.67	13	2	131
r-75-3	1	0.67	13	2	262
r-75-3	1	0.67	13	3	131
r-75-3	1	0.67	13	3	262
r-75-3	1	0.67	26	1	131
r-75-3	1	0.67	26	1	262
r-75-3	1	0.67	26	2	131
r-75-3	1	0.67	26	2	262
r-75-3	1	0.67	26	3	131
r-75-3	1	0.67	26	3	262
r-75-3	1	1.0	13	1	131
r-75-3	1	1.0	13	1	262
r-75-3	1	1.0	13	2	131
r-75-3	1	1.0	13	2	262
r-75-3	1	1.0	13	3	131
r-75-3	1	1.0	13	3	262
r-75-3	1	1.0	26	1	131
r-75-3	1	1.0	26	1	262
r-75-3	1	1.0	26	2	131
r-75-3	1	1.0	26	2	262
r-75-3	1	1.0	26	3	131
r-75-3	1	1.0	26	3	262
r-75-3	1	1.33	13	1	131
r-75-3	1	1.33	13	1	262
r-75-3	1	1.33	13	2	131
r-75-3	1	1.33	13	2	262
r-75-3	1	1.33	13	3	131
r-75-3	1	1.33	13	3	262
r-75-3	1	1.33	26	1	131
r-75-3	1	1.33	26	1	262
r-75-3	1	1.33	26	2	131
r-75-3	1	1.33	26	2	262
r-75-3	1	1.33	26	3	131
r-75-3	1	1.33	26	3	262
r-75-3	2	0.67	13	1	131
r-75-3	2	0.67	13	1	262
r-75-3	2	0.67	13	2	131
r-75-3	2	0.67	13	2	262
r-75-3	2	0.67	13	3	131
r-75-3	2	0.67	13	3	262
r-75-3	2	0.67	26	1	131
r-75-3	2	0.67	26	1	262
r-75-3	2	0.67	26	2	131
r-75-3	2	0.67	26	2	262
r-75-3	2	0.67	26	3	131
r-75-3	2	0.67	26	3	262
r-75-3	2	1.0	13	1	131
r-75-3	2	1.0	13	1	262
r-75-3	2	1.0	13	2	131
r-75-3	2	1.0	13	2	262
r-75-3	2	1.0	13	3	131
r-75-3	2	1.0	13	3	262
r-75-3	2	1.0	26	1	131
r-75-3	2	1.0	26	1	262
r-75-3	2	1.0	26	2	131
r-75-3	2	1.0	26	2	262
r-75-3	2	1.0	26	3	131
r-75-3	2	1.0	26	3	262
r-75-3	2	1.33	13	1	131
r-75-3	2	1.33	13	1	262
r-75-3	2	1.33	13	2	131
r-75-3	2	1.33	13	2	262
r-75-3	2	1.33	13	3	131
r-75-3	2	1.33	13	3	262
r-75-3	2	1.33	26	1	131
r-75-3	2	1.33	26	1	262
r-75-3	2	1.33	26	2	131
r-75-3	2	1.33	26	2	262
r-75-3	2	1.33	26	3	131
r-75-3	2	1.33	26	3	262
r-75-4	1	0.67	12	1	133
r-75-4	1	0.67	12	1	266
r-75-4	1	0.67	12	2	133
r-75-4	1	0.67	12	2	266
r-75-4	1	0.67	12	3	133
r-75-4	1	0.67	12	3	266
r-75-4	1	0.67	24	1	133
r-75-4	1	0.67	24	1	266
r-75-4	1	0.67	24	2	133
r-75-4	1	0.67	24	2	266
r-75-4	1	0.67	24	3	133
r-75-4	1	0.67	24	3	266
r-75-4	1	1.0	12	1	133
r-75-4	1	1.0	12	1	266
r-75-4	1	1.0	12	2	133
r-75-4	1	1.0	12	2	266
r-75-4	1	1.0	12	3	133
r-75-4	1	1.0	12	3	266
r-75-4	1	1.0	24	1	133
r-75-4	1	1.0	24	1	266
r-75-4	1	1.0	24	2	133
r-75-4	1	1.0	24	2	266
r-75-4	1	1.0	24	3	133
r-75-4	1	1.0	24	3	266
r-75-4	1	1.33	12	1	133
r-75-4	1	1.33	12	1	266
r-75-4	1	1.33	12	2	133
r-75-4	1	1.33	12	2	266
r-75-4	1	1.33	12	3	133
r-75-4	1	1.33	12	3	266
r-75-4	1	1.33	24	1	133
r-75-4	1	1.33	24	1	266
r-75-4	1	1.33	24	2	133
r-75-4	1	1.33	24	2	266
r-75-4	1	1.33	24	3	133
r-75-4	1	1.33	24	3	266
r-75-4	2	0.67	12	1	133
r-75-4	2	0.67	12	1	266
r-75-4	2	0.67	12	2	133
r-75-4	2	0.67	12	2	266
r-75-4	2	0.67	12	3	133
r-75-4	2	0.67	12	3	266
r-75-4	2	0.67	24	1	133
r-75-4	2	0.67	24	1	266
r-75-4	2	0.67	24	2	133
r-75-4	2	0.67	24	2	266
r-75-4	2	0.67	24	3	133
r-75-4	2	0.67	24	3	266
r-75-4	2	1.0	12	1	133
r-75-4	2	1.0	12	1	266
r-75-4	2	1.0	12	2	133
r-75-4	2	1.0	12	2	266
r-75-4	2	1.0	12	3	133
r-75-4	2	1.0	12	3	266
r-75-4	2	1.0	24	1	133
r-75-4	2	1.0	24	1	266
r-75-4	2	1.0	24	2	133
r-75-4	2	1.0	24	2	266
r-75-4	2	1.0	24	3	133
r-75-4	2	1.0	24	3	266
r-75-4	2	1.33	12	1	133
r-75-4	2	1.33	12	1	266
r-75-4	2	1.33	12	2	133
r-75-4	2	1.33	12	2	266
r-75-4	2	1.33	12	3	133
r-75-4	2	1.33	12	3	266
r-75-4	2	1.33	24	1	133
r-75-4	2	1.33	24	1	266
r-75-4	2	1.33	24	2	133
r-75-4	2	1.33	24	2	266
r-75-4	2	1.33	24	3	133
r-75-4	2	1.33	24	3	266
r-75-5	1	0.67	12	1	124
r-75-5	1	0.67	12	1	249
r-75-5	1	0.67	12	2	124
r-75-5	1	0.67	12	2	249
r-75-5	1	0.67	12	3	124
r-75-5	1	0.67	12	3	249
r-75-5	1	0.67	25	1	124
r-75-5	1	0.67	25	1	249
r-75-5	1	0.67	25	2	124
r-75-5	1	0.67	25	2	249
r-75-5	1	0.67	25	3	124
r-75-5	1	0.67	25	3	249
r-75-5	1	1.0	12	1	124
r-75-5	1	1.0	12	1	249
r-75-5	1	1.0	12	2	124
r-75-5	1	1.0	12	2	249
r-75-5	1	1.0	12	3	124
r-75-5	1	1.0	12	3	249
r-75-5	1	1.0	25	1	124
r-75-5	1	1.0	25	1	249
r-75-5	1	1.0	25	2	124
r-75-5	1	1.0	25	2	249
r-75-5	1	1.0	25	3	124
r-75-5	1	1.0	25	3	249
r-75-5	1	1.33	12	1	124
r-75-5	1	1.33	12	1	249
r-75-5	1	1.33	12	2	124
r-75-5	1	1.33	12	2	249
r-75-5	1	1.33	12	3	124
r-75-5	1	1.33	12	3	249
r-75-5	1	1.33	25	1	124
r-75-5	1	1.33	25	1	249
r-75-5	1	1.33	25	2	124
r-75-5	1	1.33	25	2	249
r-75-5	1	1.33	25	3	124
r-75-5	1	1.33	25	3	249
r-75-5	2	0.67	12	1	124
r-75-5	2	0.67	12	1	249
r-75-5	2	0.67	12	2	124
r-75-5	2	0.67	12	2	249
r-75-5	2	0.67	12	3	124
r-75-5	2	0.67	12	3	249
r-75-5	2	0.67	25	1	124
r-75-5	2	0.67	25	1	249
r-75-5	2	0.67	25	2	124
r-75-5	2	0.67	25	2	249
r-75-5	2	0.67	25	3	124
r-75-5	2	0.67	25	3	249
r-75-5	2	1.0	12	1	124
r-75-5	2	1.0	12	1	249
r-75-5	2	1.0	12	2	124
r-75-5	2	1.0	12	2	249
r-75-5	2	1.0	12	3	124
r-75-5	2	1.0	12	3	249
r-75-5	2	1.0	25	1	124
r-75-5	2	1.0	25	1	249
r-75-5	2	1.0	25	2	124
r-75-5	2	1.0	25	2	249
r-75-5	2	1.0	25	3	124
r-75-5	2	1.0	25	3	249
r-75-5	2	1.33	12	1	124
r-75-5	2	1.33	12	1	249
r-75-5	2	1.33	12	2	124
r-75-5	2	1.33	12	2	249
r-75-5	2	1.33	12	3	124
r-75-5	2	1.33	12	3	249
r-75-5	2	1.33	25	1	124
r-75-5	2	1.33	25	1	249
r-75-5	2	1.33	25	2	124
r-75-5	2	1.33	25	2	249
r-75-5	2	1.33	25	3	124
r-75-5	2	1.33	25	3	249
r-100-1	1	0.67	12	1	146
r-100-1	1	0.67	12	1	292
r-100-1	1	0.67	12	2	146
r-100-1	1	0.67	12	2	292
r-100-1	1	0.67	12	3	146
r-100-1	1	0.67	12	3	292
r-100-1	1	0.67	25	1	146
r-100-1	1	0.67	25	1	292
r-100-1	1	0.67	25	2	146
r-100-1	1	0.67	25	2	292
r-100-1	1	0.67	25	3	146
r-100-1	1	0.67	25	3	292
r-100-1	1	1.0	12	1	146
r-100-1	1	1.0	12	1	292
r-100-1	1	1.0	12	2	146
r-100-1	1	1.0	12	2	292
r-100-1	1	1.0	12	3	146
r-100-1	1	1.0	12	3	292
r-100-1	1	1.0	25	1	146
r-100-1	1	1.0	25	1	292
r-100-1	1	1.0	25	2	146
r-100-1	1	1.0	25	2	292
r-100-1	1	1.0	25	3	146
r-100-1	1	1.0	25	3	292
r-100-1	1	1.33	12	1	146
r-100-1	1	1.33	12	1	292
r-100-1	1	1.33	12	2	146
r-100-1	1	1.33	12	2	292
r-100-1	1	1.33	12	3	146
r-100-1	1	1.33	12	3	292
r-100-1	1	1.33	25	1	146
r-100-1	1	1.33	25	1	292
r-100-1	1	1.33	25	2	146
r-100-1	1	1.33	25	2	292
r-100-1	1	1.33	25	3	146
r-100-1	1	1.33	25	3	292
r-100-1	2	0.67	12	1	146
r-100-1	2	0.67	12	1	292
r-100-1	2	0.67	12	2	146
r-100-1	2	0.67	12	2	292
r-100-1	2	0.67	12	3	146
r-100-1	2	0.67	12	3	292
r-100-1	2	0.67	25	1	146
r-100-1	2	0.67	25	1	292
r-100-1	2	0.67	25	2	146
r-100-1	2	0.67	25	2	292
r-100-1	2	0.67	25	3	146
r-100-1	2	0.67	25	3	292
r-100-1	2	1.0	12	1	146
r-100-1	2	1.0	12	1	292
r-100-1	2	1.0	12	2	146
r-100-1	2	1.0	12	2	292
r-100-1	2	1.0	12	3	146
r-100-1	2	1.0	12	3	292
r-100-1	2	1.0	25	1	146
r-100-1	2	1.0	25	1	292
r-100-1	2	1.0	25	2	146
r-100-1	2	1.0	25	2	292
r-100-1	2	1.0	25	3	146
r-100-1	2	1.0	25	3	292
r-100-1	2	1.33	12	1	146
r-100-1	2	1.33	12	1	292
r-100-1	2	1.33	12	2	146
r-100-1	2	1.33	12	2	292
r-100-1	2	1.33	12	3	146
r-100-1	2	1.33	12	3	292
r-100-1	2	1.33	25	1	146
r-100-1	2	1.33	25	1	292
r-100-1	2	1.33	25	2	146
r-100-1	2	1.33	25	2	292
r-100-1	2	1.33	25	3	146
r-100-1	2	1.33	25	3	292
r-100-2	1	0.67	12	1	139
r-100-2	1	0.67	12	1	278
r-100-2	1	0.67	12	2	139
r-100-2	1	0.67	12	2	278
r-100-2	1	0.67	12	3	139
r-100-2	1	0.67	12	3	278
r-100-2	1	0.67	25	1	139
r-100-2	1	0.67	25	1	278
r-100-2	1	0.67	25	2	139
r-100-2	1	0.67	25	2	278
r-100-2	1	0.67	25	3	139
r-100-2	1	0.67	25	3	278
r-100-2	1	1.0	12	1	139
r-100-2	1	1.0	12	1	278
r-100-2	1	1.0	12	2	139
r-100-2	1	1.0	12	2	278
r-100-2	1	1.0	12	3	139
r-100-2	1	1.0	12	3	278
r-100-2	1	1.0	25	1	139
r-100-2	1	1.0	25	1	278
r-100-2	1	1.0	25	2	139
r-100-2	1	1.0	25	2	278
r-100-2	1	1.0	25	3	139
r-100-2	1	1.0	25	3	278
r-100-2	1	1.33	12	1	139
r-100-2	1	1.33	12	1	278
r-100-2	1	1.33	12	2	139
r-100-2	1	1.33	12	2	278
r-100-2	1	1.33	12	3	139
r-100-2	1	1.33	12	3	278
r-100-2	1	1.33	25	1	139
r-100-2	1	1.33	25	1	278
r-100-2	1	1.33	25	2	139
r-100-2	1	1.33	25	2	278
r-100-2	1	1.33	25	3	139
r-100-2	1	1.33	25	3	278
r-100-2	2	0.67	12	1	139
r-100-2	2	0.67	12	1	278
r-100-2	2	0.67	12	2	139
r-100-2	2	0.67	12	2	278
r-100-2	2	0.67	12	3	139
r-100-2	2	0.67	12	3	278
r-100-2	2	0.67	25	1	139
r-100-2	2	0.67	25	1	278
r-100-2	2	0.67	25	2	139
r-100-2	2	0.67	25	2	278
r-100-2	2	0.67	25	3	139
r-100-2	2	0.67	25	3	278
r-100-2	2	1.0	12	1	139
r-100-2	2	1.0	12	1	278
r-100-2	2	1.0	12	2	139
r-100-2	2	1.0	12	2	278
r-100-2	2	1.0	12	3	139
r-100-2	2	1.0	12	3	278
r-100-2	2	1.0	25	1	139
r-100-2	2	1.0	25	1	278
r-100-2	2	1.0	25	2	139
r-100-2	2	1.0	25	2	278
r-100-2	2	1.0	25	3	139
r-100-2	2	1.0	25	3	278
r-100-2	2	1.33	12	1	139
r-100-2	2	1.33	12	1	278
r-100-2	2	1.33	12	2	139
r-100-2	2	1.33	12	2	278
r-100-2	2	1.33	12	3	139
r-100-2	2	1.33	12	3	278
r-100-2	2	1.33	25	1	139
r-100-2	2	1.33	25	1	278
r-100-2	2	1.33	25	2	139
r-100-2	2	1.33	25	2	278
r-100-2	2	1.33	25	3	139
r-100-2	2	1.33	25	3	278
r-100-3	1	0.67	12	1	145
r-100-3	1	0.67	12	1	290
r-100-3	1	0.67	12	2	145
r-100-3	1	0.67	12	2	290
r-100-3	1	0.67	12	3	145
r-100-3	1	0.67	12	3	290
r-100-3	1	0.67	25	1	145
r-100-3	1	0.67	25	1	290
r-100-3	1	0.67	25	2	145
r-100-3	1	0.67	25	2	290
r-100-3	1	0.67	25	3	145
r-100-3	1	0.67	25	3	290
r-100-3	1	1.0	12	1	145
r-100-3	1	1.0	12	1	290
r-100-3	1	1.0	12	2	145
r-100-3	1	1.0	12	2	290
r-100-3	1	1.0	12	3	145
r-100-3	1	1.0	12	3	290
r-100-3	1	1.0	25	1	145
r-100-3	1	1.0	25	1	290
r-100-3	1	1.0	25	2	145
r-100-3	1	1.0	25	2	290
r-100-3	1	1.0	25	3	145
r-100-3	1	1.0	25	3	290
r-100-3	1	1.33	12	1	145
r-100-3	1	1.33	12	1	290
r-100-3	1	1.33	12	2	145
r-100-3	1	1.33	12	2	290
r-100-3	1	1.33	12	3	145
r-100-3	1	1.33	12	3	290
r-100-3	1	1.33	25	1	145
r-100-3	1	1.33	25	1	290
r-100-3	1	1.33	25	2	145
r-100-3	1	1.33	25	2	290
r-100-3	1	1.33	25	3	145
r-100-3	1	1.33	25	3	290
r-100-3	2	0.67	12	1	145
r-100-3	2	0.67	12	1	290
r-100-3	2	0.67	12	2	145
r-100-3	2	0.67	12	2	290
r-100-3	2	0.67	12	3	145
r-100-3	2	0.67	12	3	290
r-100-3	2	0.67	25	1	145
r-100-3	2	0.67	25	1	290
r-100-3	2	0.67	25	2	145
r-100-3	2	0.67	25	2	290
r-100-3	2	0.67	25	3	145
r-100-3	2	0.67	25	3	290
r-100-3	2	1.0	12	1	145
r-100-3	2	1.0	12	1	290
r-100-3	2	1.0	12	2	145
r-100-3	2	1.0	12	2	290
r-100-3	2	1.0	12	3	145
r-100-3	2	1.0	12	3	290
r-100-3	2	1.0	25	1	145
r-100-3	2	1.0	25	1	290
r-100-3	2	1.0	25	2	145
r-100-3	2	1.0	25	2	290
r-100-3	2	1.0	25	3	145
r-100-3	2	1.0	25	3	290
r-100-3	2	1.33	12	1	145
r-100-3	2	1.33	12	1	290
r-100-3	2	1.33	12	2	145
r-100-3	2	1.33	12	2	290
r-100-3	2	1.33	12	3	145
r-100-3	2	1.33	12	3	290
r-100-3	2	1.33	25	1	145
r-100-3	2	1.33	25	1	290
r-100-3	2	1.33	25	2	145
r-100-3	2	1.33	25	2	290
r-100-3	2	1.33	25	3	145
r-100-3	2	1.33	25	3	290
r-100-4	1	0.67	13	1	138
r-100-4	1	0.67	13	1	277
r-100-4	1	0.67	13	2	138
r-100-4	1	0.67	13	2	277
r-100-4	1	0.67	13	3	138
r-100-4	1	0.67	13	3	277
r-100-4	1	0.67	27	1	138
r-100-4	1	0.67	27	1	277
r-100-4	1	0.67	27	2	138
r-100-4	1	0.67	27	2	277
r-100-4	1	0.67	27	3	138
r-100-4	1	0.67	27	3	277
r-100-4	1	1.0	13	1	138
r-100-4	1	1.0	13	1	277
r-100-4	1	1.0	13	2	138
r-100-4	1	1.0	13	2	277
r-100-4	1	1.0	13	3	138
r-100-4	1	1.0	13	3	277
r-100-4	1	1.0	27	1	138
r-100-4	1	1.0	27	1	277
r-100-4	1	1.0	27	2	138
r-100-4	1	1.0	27	2	277
r-100-4	1	1.0	27	3	138
r-100-4	1	1.0	27	3	277
r-100-4	1	1.33	13	1	138
r-100-4	1	1.33	13	1	277
r-100-4	1	1.33	13	2	138
r-100-4	1	1.33	13	2	277
r-100-4	1	1.33	13	3	138
r-100-4	1	1.33	13	3	277
r-100-4	1	1.33	27	1	138
r-100-4	1	1.33	27	1	277
r-100-4	1	1.33	27	2	138
r-100-4	1	1.33	27	2	277
r-100-4	1	1.33	27	3	138
r-100-4	1	1.33	27	3	277
r-100-4	2	0.67	13	1	138
r-100-4	2	0.67	13	1	277
r-100-4	2	0.67	13	2	138
r-100-4	2	0.67	13	2	277
r-100-4	2	0.67	13	3	138
r-100-4	2	0.67	13	3	277
r-100-4	2	0.67	27	1	138
r-100-4	2	0.67	27	1	277
r-100-4	2	0.67	27	2	138
r-100-4	2	0.67	27	2	277
r-100-4	2	0.67	27	3	138
r-100-4	2	0.67	27	3	277
r-100-4	2	1.0	13	1	138
r-100-4	2	1.0	13	1	277
r-100-4	2	1.0	13	2	138
r-100-4	2	1.0	13	2	277
r-100-4	2	1.0	13	3	138
r-100-4	2	1.0	13	3	277
r-100-4	2	1.0	27	1	138
r-100-4	2	1.0	27	1	277
r-100-4	2	1.0	27	2	138
r-100-4	2	1.0	27	2	277
r-100-4	2	1.0	27	3	138
r-100-4	2	1.0	27	3	277
r-100-4	2	1.33	13	1	138
r-100-4	2	1.33	13	1	277
r-100-4	2	1.33	13	2	138
r-100-4	2	1.33	13	2	277
r-100-4	2	1.33	13	3	138
r-100-4	2	1.33	13	3	277
r-100-4	2	1.33	27	1	138
r-100-4	2	1.33	27	1	277
r-100-4	2	1.33	27	2	138
r-100-4	2	1.33	27	2	277
r-100-4	2	1.33	27	3	138
r-100-4	2	1.33	27	3	277
r-100-5	1	0.67	12	1	132
r-100-5	1	0.67	12	1	264
r-100-5	1	0.67	12	2	132
r-100-5	1	0.67	12	2	264
r-100-5	1	0.67	12	3	132
r-100-5	1	0.67	12	3	264
r-100-5	1	0.67	24	1	132
r-100-5	1	0.67	24	1	264
r-100-5	1	0.67	24	2	132
r-100-5	1	0.67	24	2	264
r-100-5	1	0.67	24	3	132
r-100-5	1	0.67	24	3	264
r-100-5	1	1.0	12	1	132
r-100-5	1	1.0	12	1	264
r-100-5	1	1.0	12	2	132
r-100-5	1	1.0	12	2	264
r-100-5	1	1.0	12	3	132
r-100-5	1	1.0	12	3	264
r-100-5	1	1.0	24	1	132
r-100-5	1	1.0	24	1	264
r-100-5	1	1.0	24	2	132
r-100-5	1	1.0	24	2	264
r-100-5	1	1.0	24	3	132
r-100-5	1	1.0	24	3	264
r-100-5	1	1.33	12	1	132
r-100-5	1	1.33	12	1	264
r-100-5	1	1.33	12	2	132
r-100-5	1	1.33	12	2	264
r-100-5	1	1.33	12	3	132
r-100-5	1	1.33	12	3	264
r-100-5	1	1.33	24	1	132
r-100-5	1	1.33	24	1	264
r-100-5	1	1.33	24	2	132
r-100-5	1	1.33	24	2	264
r-100-5	1	1.33	24	3	132
r-100-5	1	1.33	24	3	264
r-100-5	2	0.67	12	1	132
r-100-5	2	0.67	12	1	264
r-100-5	2	0.67	12	2	132
r-100-5	2	0.67	12	2	264
r-100-5	2	0.67	12	3	132
r-100-5	2	0.67	12	3	264
r-100-5	2	0.67	24	1	132
r-100-5	2	0.67	24	1	264
r-100-5	2	0.67	24	2	132
r-100-5	2	0.67	24	2	264
r-100-5	2	0.67	24	3	132
r-100-5	2	0.67	24	3	264
r-100-5	2	1.0	12	1	132
r-100-5	2	1.0	12	1	264
r-100-5	2	1.0	12	2	132
r-100-5	2	1.0	12	2	264
r-100-5	2	1.0	12	3	132
r-100-5	2	1.0	12	3	264
r-100-5	2	1.0	24	1	132
r-100-5	2	1.0	24	1	264
r-100-5	2	1.0	24	2	132
r-100-5	2	1.0	24	2	264
r-100-5	2	1.0	24	3	132
r-100-5	2	1.0	24	3	264
r-100-5	2	1.33	12	1	132
r-100-5	2	1.33	12	1	264
r-100-5	2	1.33	12	2	132
r-100-5	2	1.33	12	2	264
r-100-5	2	1.33	12	3	132
r-100-5	2	1.33	12	3	264
r-100-5	2	1.33	24	1	132
r-100-5	2	1.33	24	1	264
r-100-5	2	1.33	24	2	132
r-100-5	2	1.33	24	2	264
r-100-5	2	1.33	24	3	132
r-100-5	2	1.33	24	3	264
r-125-1	1	0.67	11	1	151
r-125-1	1	0.67	11	1	303
r-125-1	1	0.67	11	2	151
r-125-1	1	0.67	11	2	303
r-125-1	1	0.67	11	3	151
r-125-1	1	0.67	11	3	303
r-125-1	1	0.67	23	1	151
r-125-1	1	0.67	23	1	303
r-125-1	1	0.67	23	2	151
r-125-1	1	0.67	23	2	303
r-125-1	1	0.67	23	3	151
r-125-1	1	0.67	23	3	303
r-125-1	1	1.0	11	1	151
r-125-1	1	1.0	11	1	303
r-125-1	1	1.0	11	2	151
r-125-1	1	1.0	11	2	303
r-125-1	1	1.0	11	3	151
r-125-1	1	1.0	11	3	303
r-125-1	1	1.0	23	1	151
r-125-1	1	1.0	23	1	303
r-125-1	1	1.0	23	2	151
r-125-1	1	1.0	23	2	303
r-125-1	1	1.0	23	3	151
r-125-1	1	1.0	23	3	303
r-125-1	1	1.33	11	1	151
r-125-1	1	1.33	11	1	303
r-125-1	1	1.33	11	2	151
r-125-1	1	1.33	11	2	303
r-125-1	1	1.33	11	3	151
r-125-1	1	1.33	11	3	303
r-125-1	1	1.33	23	1	151
r-125-1	1	1.33	23	1	303
r-125-1	1	1.33	23	2	151
r-125-1	1	1.33	23	2	303
r-125-1	1	1.33	23	3	151
r-125-1	1	1.33	23	3	303
r-125-1	2	0.67	11	1	151
r-125-1	2	0.67	11	1	303
r-125-1	2	0.67	11	2	151
r-125-1	2	0.67	11	2	303
r-125-1	2	0.67	11	3	151
r-125-1	2	0.67	11	3	303
r-125-1	2	0.67	23	1	151
r-125-1	2	0.67	23	1	303
r-125-1	2	0.67	23	2	151
r-125-1	2	0.67	23	2	303
r-125-1	2	0.67	23	3	151
r-125-1	2	0.67	23	3	303
r-125-1	2	1.0	11	1	151
r-125-1	2	1.0	11	1	303
r-125-1	2	1.0	11	2	151
r-125-1	2	1.0	11	2	303
r-125-1	2	1.0	11	3	151
r-125-1	2	1.0	11	3	303
r-125-1	2	1.0	23	1	151
r-125-1	2	1.0	23	1	303
